Filename,Relative Times
xa.s16.00.mhz.1972-11-06HR00_evid00079.csv,"[15094.33962264151, 27169.81132075472, 30188.67924528302, 33207.54716981132, 36226.41509433962, 39245.28301886792, 42264.15094339623, 48301.88679245283, 51320.75471698113, 54339.62264150944, 57358.49056603773, 66415.09433962264, 72452.83018867925]"
xa.s16.00.mhz.1974-11-11HR00_evid00160.csv,[60377.35849056604]
xa.s16.00.mhz.1977-04-17HR00_evid00249.csv,[]
xa.s16.00.mhz.1974-12-15HR00_evid00172.csv,"[12075.471698113208, 33207.54716981132, 39245.28301886792, 45283.018867924526, 48301.88679245283, 51320.75471698113, 54339.62264150944, 63396.22641509434]"
xa.s16.00.mhz.1972-09-10HR00_evid00075.csv,"[0.0, 3018.867924528302, 6037.735849056604, 9056.603773584906, 12075.471698113208, 15094.33962264151, 21132.075471698117, 39245.28301886792]"
xa.s16.00.mhz.1973-07-31HR00_evid00123.csv,"[3018.867924528302, 45283.018867924526, 51320.75471698113, 54339.62264150944, 57358.49056603773, 60377.35849056604, 81509.43396226416]"
xa.s16.00.mhz.1975-02-19HR00_evid00180.csv,[81509.43396226416]
xa.s16.00.mhz.1972-11-14HR00_evid00081.csv,[]
xa.s16.00.mhz.1975-03-26HR00_evid00186.csv,"[0.0, 6037.735849056604, 45283.018867924526, 48301.88679245283, 51320.75471698113, 54339.62264150944, 69433.96226415095, 78490.56603773584]"
xa.s16.00.mhz.1974-12-12HR02_evid00168.csv,"[45283.018867924526, 54339.62264150944]"
xa.s16.00.mhz.1977-06-02HR00_evid00255.csv,[60377.35849056604]
xa.s16.00.mhz.1972-11-08HR00_evid00080.csv,[66415.09433962264]
xa.s16.00.mhz.1974-12-25HR00_evid00174.csv,"[0.0, 9056.603773584906, 12075.471698113208, 15094.33962264151, 18113.20754716981, 57358.49056603773, 78490.56603773584]"
xa.s16.00.mhz.1974-05-19HR00_evid00146.csv,"[0.0, 6037.735849056604, 9056.603773584906, 12075.471698113208, 21132.075471698117, 24150.943396226416, 45283.018867924526, 69433.96226415095]"
